frame,labelimageId,trackId,lineageId,parentTrackId,mergerLabelId,Convexity_0,Number_of_Defects_0,Mean_Defect_Displacement_0,Mean_Defect_Area_0,Variance_of_Defect_Area_0,Convex_Hull_Center_0,Convex_Hull_Center_1,Object_Center_0,Object_Center_1,Object_Area_0,Kurtosis_of_Intensity_0,Maximum_intensity_0,Mean_Intensity_0,Minimum_intensity_0,Principal_components_of_the_object_0,Principal_components_of_the_object_1,Principal_components_of_the_object_2,Principal_components_of_the_object_3,Radii_of_the_object_0,Radii_of_the_object_1,Skewness_of_Intensity_0,Total_Intensity_0,Variance_of_Intensity_0,Average_Branch_Length_0,Number_of_Branches_0,Diameter_0,Euclidean_Diameter_0,Number_of_Holes_0,Center_of_the_Skeleton_0,Center_of_the_Skeleton_1,Terminal_1_0,Terminal_1_1,Terminal_2_0,Terminal_2_1,Length_of_the_Skeleton_0,Bounding_Box_Maximum_0,Bounding_Box_Maximum_1,Bounding_Box_Minimum_0,Bounding_Box_Minimum_1,Size_in_pixels_0,Center_of_the_object_0,Center_of_the_object_1
2,8,9,9,0,0,0.627826,4,24.701178,160.500000,23073.000000,749.000000,1150.000000,755.605713,1149.538330,1083.000000,-0.811131,62.000000,37.629734,6.000000,0.999189,0.040263,0.040263,-0.999189,17.049210,5.511858,-0.472404,40753.000000,172.345825,9.690906,37,70.313705,63.505905,0,750,1149,778.000000,1140.000000,715.000000,1148.000000,358.563507,783,1162,715,1138,1083.000000,755,1149
3,1,2,2,0,0,0.403162,4,21.167772,453.000000,253178.000000,1182.500000,58.500000,1177.668335,57.347221,1224.000000,-0.523207,64.000000,40.114380,6.000000,0.851857,0.523775,0.523775,-0.851857,18.315384,5.814674,-0.582667,49100.000000,151.635605,9.702782,42,80.740112,71.589104,0,1183,60,1215.000000,81.000000,1150.000000,51.000000,407.516815,1215,81,1150,36,1224.000000,1177,57
3,2,3,3,0,0,0.515678,4,17.371923,216.250000,63654.917969,416.500000,238.000000,415.864288,240.889252,921.000000,-0.838328,51.000000,27.649294,9.000000,0.637709,-0.770277,0.770277,0.637709,13.400245,5.656464,0.350088,25465.000000,88.831406,9.324154,31,59.012192,54.203320,0,414,238,433.000000,258.000000,400.000000,215.000000,289.048767,435,261,398,215,921.000000,415,240
3,3,4,4,0,0,0.534792,4,18.706575,207.250000,49012.917969,270.500000,415.000000,267.445953,413.931793,953.000000,-0.665877,52.000000,34.644279,13.000000,0.909805,-0.415036,-0.415036,-0.909805,14.107823,6.013258,-0.410317,33016.000000,64.180916,8.985462,28,61.941124,54.405884,0,271,412,245.000000,417.000000,297.000000,401.000000,251.592926,297,431,244,399,953.000000,267,413
3,4,5,5,0,0,0.373052,4,20.495409,482.750000,269700.906250,732.000000,507.500000,733.771118,503.567444,1149.000000,-0.832409,57.000000,34.238468,8.000000,-0.657526,-0.753432,0.753432,-0.657526,16.864944,6.141284,-0.061430,39340.000000,110.252968,8.501386,44,76.154327,70.292244,0,731,508,705.000000,534.000000,759.000000,489.000000,374.060974,759,535,705,480,1149.000000,733,503
3,5,6,6,0,0,0.412381,3,13.886957,205.666672,29765.333984,2005.500000,742.000000,2010.494263,743.145508,433.000000,0.793460,28.000000,15.545034,7.000000,0.897426,0.441164,0.441164,-0.897426,10.230973,4.414113,0.963976,6731.000000,12.825339,24.849243,2,49.698486,46.065170,0,2005,742,2026.000000,751.000000,1985.000000,730.000000,49.698486,2026,754,1985,730,433.000000,2010,743
3,6,7,7,0,0,0.533333,4,19.287603,175.000000,36061.332031,1995.500000,851.500000,2001.222534,853.270020,800.000000,0.066293,33.000000,15.916250,4.000000,0.975794,-0.218691,-0.218691,-0.975794,12.141237,6.556329,0.217883,12733.000000,25.901735,8.328808,32,56.213203,46.141087,0,1997,854,2011.000000,837.000000,1971.000000,860.000000,266.521851,2020,866,1971,837,800.000000,2001,853
3,7,8,8,0,0,0.696839,4,22.131851,105.500000,6872.333496,343.500000,970.500000,339.685577,970.129883,970.000000,-0.658595,52.000000,33.203094,8.000000,0.999242,0.038925,0.038925,-0.999242,14.044748,5.814434,-0.224945,32207.000000,89.937103,8.407393,32,62.384777,57.706154,0,343,971,315.000000,963.000000,372.000000,972.000000,269.036591,372,982,315,959,970.000000,339,970
3,8,9,9,0,0,0.634706,4,25.268150,155.250000,26488.250000,749.500000,1151.000000,756.450439,1149.972168,1079.000000,-0.845324,59.000000,37.784985,6.000000,0.998581,0.053246,0.053246,-0.998581,16.595869,5.613354,-0.453165,40770.000000,176.064987,9.882475,38,71.384773,63.505905,0,750,1149,779.000000,1141.000000,716.000000,1149.000000,375.534058,783,1163,716,1139,1079.000000,756,1149
4,1,2,2,0,0,0.394435,3,21.447973,616.666687,259666.328125,1182.000000,59.000000,1176.281372,56.843983,1205.000000,-0.578059,61.000000,39.969296,7.000000,0.847290,0.531131,0.531131,-0.847290,17.657990,5.904480,-0.566730,48163.000000,152.647186,9.459367,40,79.325905,70.263786,0,1183,61,1214.000000,82.000000,1150.000000,53.000000,378.374664,1214,82,1150,36,1205.000000,1176,56
